category,messages
ham,"India, also known as Bharat, is a Union of States. It is a Sovereign Socialist Secular Democratic Republic with a parliamentary system of government."
spam,"India, also known as Bharat, is a Union of States. It is a Sovereign Socialist Secular Democratic Republic with a parliamentary system of government."
ham,"India, also known as Bharat, is a Union of States. It is a Sovereign Socialist Secular Democratic Republic with a parliamentary system of government."
ham,"India, also known as Bharat, is a Union of States. It is a Sovereign Socialist Secular Democratic Republic with a parliamentary system of government."
spam,"India, also known as Bharat, is a Union of States. It is a Sovereign Socialist Secular Democratic Republic with a parliamentary system of government."
spam,"India, also known as Bharat, is a Union of States. It is a Sovereign Socialist Secular Democratic Republic with a parliamentary system of government."
spam,"India, also known as Bharat, is a Union of States. It is a Sovereign Socialist Secular Democratic Republic with a parliamentary system of government."
spam,"India, also known as Bharat, is a Union of States. It is a Sovereign Socialist Secular Democratic Republic with a parliamentary system of government."
spam,"India, also known as Bharat, is a Union of States. It is a Sovereign Socialist Secular Democratic Republic with a parliamentary system of government."
spam,"India, also known as Bharat, is a Union of States. It is a Sovereign Socialist Secular Democratic Republic with a parliamentary system of government."
spam,"India, also known as Bharat, is a Union of States. It is a Sovereign Socialist Secular Democratic Republic with a parliamentary system of government."
spam,The Constitution of India (IAST: Bh?rat?ya Sa?vidh?na) is the supreme law of India.[2][3] The document lays down the framework that demarcate
spam,The Constitution of India (IAST: Bh?rat?ya Sa?vidh?na) is the supreme law of India.[2][3] The document lays down the framework that demarcate
spam,The Constitution of India (IAST: Bh?rat?ya Sa?vidh?na) is the supreme law of India.[2][3] The document lays down the framework that demarcate
ham,The Constitution of India (IAST: Bh?rat?ya Sa?vidh?na) is the supreme law of India.[2][3] The document lays down the framework that demarcate
ham,The Constitution of India (IAST: Bh?rat?ya Sa?vidh?na) is the supreme law of India.[2][3] The document lays down the framework that demarcate
ham,The Constitution of India (IAST: Bh?rat?ya Sa?vidh?na) is the supreme law of India.[2][3] The document lays down the framework that demarcate
ham,The Constitution of India (IAST: Bh?rat?ya Sa?vidh?na) is the supreme law of India.[2][3] The document lays down the framework that demarcate
ham,The Constitution of India (IAST: Bh?rat?ya Sa?vidh?na) is the supreme law of India.[2][3] The document lays down the framework that demarcate
ham,The Constitution of India (IAST: Bh?rat?ya Sa?vidh?na) is the supreme law of India.[2][3] The document lays down the framework that demarcate
ham,The credit that is given to me does not really belong to me. It belongs partly to Sir B.N. Rau the Constitutional Advisor to the Constituent Assembly
ham,The credit that is given to me does not really belong to me. It belongs partly to Sir B.N. Rau the Constitutional Advisor to the Constituent Assembly
spam,The credit that is given to me does not really belong to me. It belongs partly to Sir B.N. Rau the Constitutional Advisor to the Constituent Assembly
ham,The credit that is given to me does not really belong to me. It belongs partly to Sir B.N. Rau the Constitutional Advisor to the Constituent Assembly
spam,"The constitution was drawn from a number of sources. Mindful of India's needs and conditions, its framers borrowed features of previous legislation such "
spam,"The constitution was drawn from a number of sources. Mindful of India's needs and conditions, its framers borrowed features of previous legislation such "
ham,"The constitution was drawn from a number of sources. Mindful of India's needs and conditions, its framers borrowed features of previous legislation such "
ham,"The constitution was drawn from a number of sources. Mindful of India's needs and conditions, its framers borrowed features of previous legislation such "
spam,"The constitution was drawn from a number of sources. Mindful of India's needs and conditions, its framers borrowed features of previous legislation such "
ham,"The constitution was drawn from a number of sources. Mindful of India's needs and conditions, its framers borrowed features of previous legislation such "
